CropName,CurrentPrice,AvgYield,WaterRequirement
Aloe Vera,6.55,996.77,0.5
Angled Loofah,6.64,113021.46,0.6
Areca Nut,7.26,5862.07,0.4
Asam Gelugor,8.28,5213.84,0.6
Asam Jawa,6.61,166.27,0.5
Banana,4.5,2176972.61,0.8
Basil,8.67,1497.92,0.6
Belalai Gajah,8.3,825.58,0.4
Betel Vine,8.51,11237.5,0.5
Birds Eye Chili,16.5,14350.54,0.7
Bitter Gourd,7.0,101042.24,0.5
Black Pepper,35.0,320.51,0.5
Black Turmeric,5.07,25.24,0.6
Bonglai,8.18,400.0,0.4
Bottle Gourd,6.99,34043.55,0.4
Brinjal,6.61,252610.47,0.4
Cabbage,4.5,548526.24,0.4
Calamondin Lime,8.0,88949.96,0.5
Candle Tree,4.57,13.04,0.5
Carrot,5.15,40576.92,0.5
Cassava,2.8,285347.9,0.2
Cekur,6.84,2057.14,0.6
Celery,8.79,43990.85,0.6
Cempedak,5.05,167299.14,0.6
Chinese Cabbage,4.5,156553.85,0.6
Chinese Chives,6.96,23827.86,0.5
Chinese Kale,8.45,110280.09,0.4
Chinese Potato,4.79,375.0,0.4
Chinese Spinach,5.0,447672.37,0.8
Ciku,8.58,18967.9,0.4
Cinnamon,7.3,13.79,0.4
Clove,6.91,0.0,0.5
Coconut,2.5,3194991.54,0.5
Coffee,18.0,70514.22,0.6
Coriander,4.76,40.0,0.4
Cucumber,4.0,553075.26,0.7
Curry Tree,6.61,19072.55,0.5
Dokong,6.93,78067.43,0.5
Dragon Fruit,6.18,40046.05,0.5
Duku,6.89,54428.78,0.5
Durian,22.0,1309776.32,0.6
Dwarf Bitter Gourd,7.0,19136.45,0.6
Fourangled Bean,4.11,44656.04,0.5
Fragrant Lemon Grass,5.0,7124.06,0.4
French Bean,8.03,82579.81,0.5
Ginger,12.0,92715.37,0.4
Great Morinda,8.57,308.57,0.5
Greater Galangal,8.65,29698.5,0.5
Groundnuts,5.86,2434.37,0.5
Guava,6.0,526800.27,0.4
Hempedu Bumi,6.36,1125.0,0.4
Henna,4.21,613.64,0.4
Honey Bee,7.25,296.0,0.5
Jackfruit,5.0,174174.35,0.5
Jering,6.68,11141.51,0.4
Kacip Fatimah,7.56,353.33,0.6
Kaduk,6.52,60.87,0.6
Kaffir Lime,6.67,12667.54,0.5
Kelulut Bee,4.07,501.06,0.6
Ladys Finger,8.1,337106.92,0.6
Langsat,5.77,143197.21,0.5
Leaf Cactus,8.3,33.33,0.6
Lemon Grass,5.0,116872.99,0.4
Lemon Myrtle,4.69,2057.89,0.5
Lettuce,10.0,298950.16,0.8
Lime,5.45,44337.1,0.4
Long Bean,8.46,367550.21,0.5
Long Jack,5.73,645.71,0.5
Mango,8.0,105046.92,0.5
Mangosteen,9.0,78896.94,0.5
Melada Pahit,8.3,11.11,0.4
Mint,8.08,63327.27,0.5
Misai Kucing,5.56,744.34,0.5
Mistletoe Fig,4.51,626.07,0.6
Mushroom,6.38,94666.29,0.5
Mustard,8.43,892277.96,0.4
Nipa Palm,8.65,9566.67,0.4
Nutmeg,7.1,18917.6,0.4
Pandan,8.85,28390.57,0.6
Papaya,3.5,520478.19,0.4
Pecah Beling,4.89,342.11,0.4
Pegaga,5.78,3705.56,0.5
Petai,6.91,49085.37,0.6
Pineapple,3.8,2116285.56,0.3
Pink Cone Ginger,12.0,25662.85,0.4
Pomelo,10.0,85206.89,0.5
Pulasan,8.99,9541.09,0.4
Pumpkin,5.95,205678.64,0.5
Radish,7.25,58861.48,0.4
Rambutan,7.0,231149.27,0.5
Red Chilli,8.84,172065.64,0.5
Red Ginger,12.0,225.81,0.4
River Tamarind,8.04,123.08,0.4
Roselle,4.53,2440.54,0.4
Sago,4.57,2590824.7,0.5
Salak,4.4,41741.58,0.5
Snake Gourd,5.75,3046.81,0.5
Spring Onion,8.2,58879.6,0.5
Starfruit,5.0,54338.01,0.4
Stevia,7.13,312.5,0.5
Swamp Willow Weed,8.83,16532.31,0.5
Sweet Corn,5.5,462171.78,0.6
Sweet Orange,7.69,86003.47,0.5
Sweet Potato,6.92,264680.51,0.4
Sweet Shoot,7.48,29590.29,0.4
Tea,25.0,211938.78,0.8
Temu Lawak,4.77,90.0,0.5
Tenggek Burung,5.19,1040.0,0.4
Tomato,6.5,1404368.12,0.7
Turkey Berry,4.73,2987.5,0.5
Turmeric,6.12,34814.15,0.6
Ulam Raja,7.13,2011.43,0.5
Water Celery,8.63,2093.14,0.6
Water Spinach,5.0,318797.28,0.8
Watermelon,3.0,1111453.97,0.5
Wax Gourd,5.56,13161.67,0.4
Yam,8.02,30291.5,0.5
Yambean,7.72,422905.08,0.5
Yellow Sugar Cane,6.75,191022.29,0.6
